,Tipo,Distrito,Cuartos,Vacantes,Suites,Area,Valor,Mantenimiento,Impuesto
0,Terreno,Ate,0,0,0,1110,140000.0,,
1,Terreno,Ventanilla,0,0,0,721,4000.0,,611.0
2,Terreno,Ate,0,0,0,1873,50000.0,,6392.0
3,Terreno,Jesús María,0,0,0,1290,18000.0,,1300.0
4,Terreno,Ate,0,0,0,1296,40000.0,,2756.0
5,Terreno,El Agustino,0,0,0,400,3200.0,,101.0
6,Chacra,Ancón,3,0,0,0,4900.0,,
7,Terreno,Lince,0,0,0,1240,15000.0,,
8,Terreno,San Luis,0,0,0,2000,24000.0,,500.0
9,Terreno em condominio,Punta Hermosa,0,0,0,1000,20000.0,,
10,Terreno,Jesús María,0,0,0,13500,47000.0,,4413.0
11,Terreno,La Punta,0,0,0,1716,17700.0,,212.0
12,Terreno,Santa Anita,0,0,0,400,10000.0,,
13,Terreno,Santa María del Mar,0,0,0,831,7000.0,,7032.0
14,Terreno,San Isidro,0,0,0,1650,10000.0,,
15,Terreno,Jesús María,0,0,0,600,8000.0,,500.0
16,Terreno,Lima,0,0,0,9080,22000.0,,17018.0
17,Terreno,Lince,0,0,0,10000,14000.0,,546.0
18,Terreno,Villa María del Triunfo,0,0,0,2000,22000.0,,
19,Terreno,Ventanilla,0,0,0,9220,73000.0,,14004.0
20,Terreno,Jesús María,0,0,0,13500,47000.0,,2678.0
21,Terreno,Chorrillos,0,0,0,400,35000.0,,
22,Terreno,Lince,0,0,0,7000,180000.0,,
23,Terreno,Lince,0,0,0,300,10000.0,,
24,Terreno,San Martín de Porres,0,0,0,600,3500.0,,
25,Terreno,Jesús María,0,0,0,13500,47000.0,,2678.0
26,Terreno,Ate,0,0,0,575,40000.0,,
27,Terreno,Ate,0,4,0,30,3500.0,,
28,Terreno,Lima,0,0,0,9080,22000.0,,17018.0
29,Terreno,La Perla,0,0,0,2900,20000.0,,
30,Terreno,Ventanilla,0,0,0,9080,22000.0,,18397.0
31,Terreno,Punta Hermosa,0,0,0,1000,20000.0,1.0,1.0
32,Terreno,Jesús María,0,0,0,2000,14000.0,,2000.0
33,Terreno,Ancón,0,0,0,2785,6000.0,,
34,Terreno,Ate,0,0,0,1110,140000.0,,
35,Terreno,Ate,0,0,0,678,20000.0,,1406.0
36,Terreno,San Luis,0,0,0,203,5000.0,,
37,Terreno,Jesús María,0,0,0,13500,47000.0,,3195.0
38,Terreno,San Luis,0,0,0,13000,60000.0,,
39,Terreno,Jesús María,0,0,0,690,8000.0,,1000.0
40,Terreno,Ate,0,0,0,6000,12200.0,,200.0
41,Terreno em condominio,Santa Rosa,0,0,0,0,14000.0,,2400.0
42,Terreno,Jesús María,0,0,0,5000,30000.0,,1143.0
43,Terreno,Ate,0,0,0,1110,140000.0,,5635.0
44,Terreno,Jesús María,0,0,0,13500,47000.0,,2678.0
45,Terreno,Ate,0,0,0,500,15000.0,,
46,Terreno,La Punta,0,0,0,1716,17700.0,,
47,Terreno,Los Olivos,2,0,0,672,2800.0,,
48,Terreno,Ancón,0,0,0,1800,1500.0,,
49,Terreno,Ancón,0,0,0,2107,4500.0,,210.0
50,Terreno,Jesús María,0,0,0,690,8000.0,,1000.0
51,Terreno,Jesús María,0,0,0,13500,47000.0,,
52,Terreno,Villa El Salvador,0,0,0,7000,8650.0,,
53,Terreno,Lince,0,0,0,90000,90000.0,,
54,Terreno,Ate,0,0,0,360,5000.0,,
55,Terreno,Jesús María,0,0,0,1295,10990.0,,900.0
56,Terreno,Villa María del Triunfo,0,0,0,10325,29000.0,,707.0
57,Terreno,Comas,0,0,0,552,5000.0,,
58,Terreno,Ventanilla,0,0,0,360,6000.0,,893.0
59,Terreno,Ate,0,0,0,1873,45000.0,,59449.0
60,Terreno,Ate,0,0,0,780,32000.0,,1750.0
61,Terreno,Lince,0,0,0,300,1000.0,,
62,Terreno,Ate,0,0,0,588,6000.0,,
63,Terreno,Ancón,0,0,0,1200,1800.0,,
64,Terreno,La Punta,0,0,0,1716,17700.0,,167.0
65,Terreno em condominio,San Miguel,0,0,0,0,25000.0,,4000.0
66,Terreno,Ate,0,0,0,1111,140000.0,,25000.0
67,Terreno em condominio,Lince,0,0,0,8700,11000.0,,
68,Terreno,Villa María del Triunfo,0,0,0,28120,8000.0,,1500.0
69,Terreno em condominio,Ate,0,0,0,645,40000.0,,8255.0
70,Terreno,Callao,0,0,0,6000,35000.0,,700.0
71,Terreno,Chorrillos,0,0,0,465,25000.0,,2753.0
72,Terreno,Ate,0,0,0,1110,140000.0,,
73,Terreno,San Luis,0,0,0,1200,30000.0,,500.0
74,Terreno,Ate,1,0,0,529,35000.0,,1222.0
75,Terreno,Jesús María,0,0,0,800,8000.0,,500.0
